p,errs_uncoded,errs_coded,errs_uncoded_ratio,errs_coded_ratio,equal_uncoded,equal_coded,orig_len_bits,bytes_to_blocks,encode,uncoded_channel,uncoded_unpack,coded_channel,decode,coded_unpack
0.001,8522,0,0.0010159015655517578,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.3103960000007646,0.21612570000070264,0.34406740000122227,0.35984910000115633,0.1875086999971245
0.001,8308,0,0.0009903907775878906,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.26178149999759626,0.2116067999995721,0.2857401999972353,0.3717885000005481,0.20282319999751053
0.001,8329,0,0.000992894172668457,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.24977270000090357,0.20364790000166977,0.3353727000030631,0.45493700000224635,0.1991362000007939
0.001,8282,0,0.0009872913360595703,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.26249879999886616,0.22330169999986538,0.29471660000126576,0.38244870000198716,0.1929576000002271
0.005,42123,8,0.005021452903747559,9.5367431640625e-07,False,False,8388608,0.20387249999839696,0.21100149999983842,0.22849769999811542,0.19393160000254284,0.27090880000105244,0.3648730999993859,0.20841520000249147
0.005,41875,19,0.004991888999938965,2.2649765014648438e-06,False,False,8388608,0.20387249999839696,0.21100149999983842,0.2381494000001112,0.1865418999987014,0.28672699999879114,0.3779628000011144,0.19688829999722657
0.005,41757,14,0.004977822303771973,1.6689300537109375e-06,False,False,8388608,0.20387249999839696,0.21100149999983842,0.23889250000138418,0.20439260000057402,0.280785900002229,0.35279929999887827,0.1902819000024465
0.005,41676,15,0.004968166351318359,1.7881393432617188e-06,False,False,8388608,0.20387249999839696,0.21100149999983842,0.23415010000098846,0.21651479999854928,0.28824080000049435,0.35792529999889666,0.19988800000282936
0.005,41876,12,0.004992008209228516,1.430511474609375e-06,False,False,8388608,0.20387249999839696,0.21100149999983842,0.2396625999972457,0.19713599999886355,0.2864919999992708,0.3596975000000384,0.19924140000148327
0.005,41922,7,0.0049974918365478516,8.344650268554688e-07,False,False,8388608,0.20387249999839696,0.21100149999983842,0.22991819999879226,0.20086350000201492,0.2921989999995276,0.37408739999955287,0.21154529999694205
0.005,41817,14,0.0049849748611450195,1.6689300537109375e-06,False,False,8388608,0.20387249999839696,0.21100149999983842,0.24983199999769568,0.21224399999846355,0.3033550000000105,0.367165899999236,0.20078579999972135
0.005,41676,22,0.004968166351318359,2.6226043701171875e-06,False,False,8388608,0.20387249999839696,0.21100149999983842,0.2538017000006221,0.21703300000081072,0.31495819999690866,0.40625960000033956,0.21274750000156928
0.005,41854,23,0.0049893856048583984,2.7418136596679688e-06,False,False,8388608,0.20387249999839696,0.21100149999983842,0.2615643999997701,0.21376629999940633,0.29933949999758624,0.4045972999992955,0.19486899999901652
0.005,41729,11,0.004974484443664551,1.3113021850585938e-06,False,False,8388608,0.20387249999839696,0.21100149999983842,0.23510019999957876,0.20875969999906374,0.2871115000016289,0.36907670000073267,0.2077921999989485
0.01,83872,181,0.009998321533203125,2.1576881408691406e-05,False,False,8388608,0.20387249999839696,0.21100149999983842,0.25201709999964805,0.22030480000103125,0.32132029999775114,0.36822119999851566,0.22316010000213282
0.01,83545,168,0.00995934009552002,2.002716064453125e-05,False,False,8388608,0.20387249999839696,0.21100149999983842,0.25032629999986966,0.20801750000100583,0.29152480000266223,0.3937694000014744,0.19949439999982133
0.01,83813,218,0.009991288185119629,2.5987625122070312e-05,False,False,8388608,0.20387249999839696,0.21100149999983842,0.24155189999873983,0.20066640000004554,0.299017700002878,0.36830619999818737,0.20212220000030356
0.01,83846,190,0.009995222091674805,2.2649765014648438e-05,False,False,8388608,0.20387249999839696,0.21100149999983842,0.23717620000024908,0.19635550000020885,0.3039400999987265,0.37620310000056634,0.20277200000055018
0.01,84275,220,0.01004636287689209,2.6226043701171875e-05,False,False,8388608,0.20387249999839696,0.21100149999983842,0.24233520000052522,0.205852800001594,0.2930216999993718,0.36072760000024573,0.2025681999984954
